ContactsContactID,VanID,ResultID,CanvassedBy,CommitteeID,CreatedBy,DateCreated,DateCanvassed,InputTypeID,ContactTypeID,ChangeTypeId,ErrorMessage
1880285,101540423,3,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:21:00 PM,14,2,1,
1880286,101540423,3,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:22:00 PM,14,2,1,
1880287,101540927,1,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:22:00 PM,14,2,1,
1880288,101540927,2,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:22:00 PM,14,2,1,
1880289,101460126,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:31:00 PM,14,2,1,
1880290,101460262,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:58:00 PM,14,2,1,
1880291,101460401,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:58:00 PM,14,2,1,
1880292,101462481,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:51:00 PM,14,2,1,
1880293,101462556,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:03:00 PM,14,2,1,
1880294,101462925,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:30:00 PM,14,2,1,
1880295,101463092,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:49:00 PM,14,2,1,
1880296,101463983,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:55:00 PM,14,2,1,
1880297,101466173,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:50:00 PM,14,2,1,
1880298,101466654,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:00:00 PM,14,2,1,
1880299,101467163,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:18:00 PM,14,2,1,
1880300,101467343,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:21:00 PM,14,2,1,
1880301,101467624,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:39:00 PM,14,2,1,
1880302,101469868,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:37:00 PM,14,2,1,
1880303,101548490,14,2196545,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:45:00 PM,14,2,1,
1880304,101548528,14,2196545,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:13:00 PM,14,2,1,
1880305,101548977,14,2196545,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:09:00 PM,14,2,1,
1880306,101548998,14,2196545,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:32:00 PM,14,2,1,
1880307,101553418,14,2194352,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:10:00 PM,14,2,1,
1880308,101535972,14,2197447,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:00:00 PM,14,2,1,
1880309,101536322,14,2197447,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:03:00 PM,14,2,1,
1880310,101539752,14,2196979,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:54:00 PM,14,2,1,
1880311,101555354,14,2194352,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:31:00 PM,14,2,1,
1880312,101475755,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 6:58:00 PM,14,2,1,
1880313,101480359,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:07:00 PM,14,2,1,
1880314,101481277,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:14:00 PM,14,2,1,
1880315,101481517,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:21:00 PM,14,2,1,
1880316,101482807,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:14:00 PM,14,2,1,
1880317,101484266,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:12:00 PM,14,2,1,
1880318,101484381,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:37:00 PM,14,2,1,
1880319,101486778,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:14:00 PM,14,2,1,
1880320,101487452,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:13:00 PM,14,2,1,
1880321,101488419,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:18:00 PM,14,2,1,
1880322,101489689,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:05:00 PM,14,2,1,
1880323,101490277,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:08:00 PM,14,2,1,
1880324,101490339,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:23:00 PM,14,2,1,
1880325,101491038,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:04:00 PM,14,2,1,
1880326,101491074,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:14:00 PM,14,2,1,
1880327,101491092,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:49:00 PM,14,2,1,
1880328,101493313,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:24:00 PM,14,2,1,
1880329,101535994,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:54:00 PM,14,2,1,
1880330,101536275,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:33:00 PM,14,2,1,
1880331,101536322,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:47:00 PM,14,2,1,
1880332,101537001,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:42:00 PM,14,2,1,
1880333,101537136,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:03:00 PM,14,2,1,
1880334,101537234,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:33:00 PM,14,2,1,
1880335,101537301,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:36:00 PM,14,2,1,
1880336,101539293,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:36:00 PM,14,2,1,
1880337,101541382,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:46:00 PM,14,2,1,
1880338,101541679,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:54:00 PM,14,2,1,
1880339,101541838,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:33:00 PM,14,2,1,
1880340,101542108,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:09:00 PM,14,2,1,
1880341,101536350,14,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:15:00 PM,14,2,1,
1880342,101537532,14,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:54:00 PM,14,2,1,
1880343,101537667,14,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:53:00 PM,14,2,1,
1880344,101539578,14,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:54:00 PM,14,2,1,
1880345,101540265,14,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:35:00 PM,14,2,1,
1880346,101541594,14,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:50:00 PM,14,2,1,
1880347,101540390,14,2196564,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:47:00 PM,14,2,1,
1880348,101218842,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:52:00 PM,14,2,1,
1880349,101220232,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:55:00 PM,14,2,1,
1880350,101220294,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:04:00 PM,14,2,1,
1880351,101221118,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:37:00 PM,14,2,1,
1880352,101221192,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:19:00 PM,14,2,1,
1880353,101221422,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:14:00 PM,14,2,1,
1880354,101223058,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:21:00 PM,14,2,1,
1880355,101223492,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:24:00 PM,14,2,1,
1880356,101224548,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:04:00 PM,14,2,1,
1880357,101225276,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:02:00 PM,14,2,1,
1880358,101225363,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:08:00 PM,14,2,1,
1880359,101225464,14,2194397,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:14:00 PM,14,2,1,
1880360,101538905,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:55:00 PM,14,2,1,
1880361,101539781,14,2188645,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:35:00 PM,14,2,1,
1880362,101482415,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:57:00 PM,14,2,1,
1880363,101483014,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:58:00 PM,14,2,1,
1880364,101483713,14,2188277,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:03:00 PM,14,2,1,
